_demopotemea.identification.core.email,_demopotemea.interactionDetails.core.callCenterAgent.callReason,_demopotemea.interactionDetails.core.callCenterAgent.callAgentComments,_demopotemea.interactionDetails.core.callCenterAgent.callResolutionFlag,timestamp,eventType,callId,_demopotemea.identification.core.phoneNumber
nclothery@liveinternet.ru,Delivery Query,Negative,1,2025-07-24T06:26:38Z,message.feedback,2070500482795.967,+49 131 119 7700
sbillz@state.tx.us,Number Query,Negative,0,2025-12-09T12:11:20Z,message.feedback,3775051098486.271,+46 862 811 4185
kfreschini10@samsung.com,Event Information,Positive,0,2025-09-24T09:06:50Z,message.feedback,4276696361992.375,+502 537 682 0203
kireson11@parallels.com,Order Return,Positive,0,2025-12-23T20:00:45Z,message.feedback,5631114021579.572,+380 721 738 2607
bmacgibbon12@barnesandnoble.com,Order Return,Neutral,0,2025-11-01T04:24:22Z,message.feedback,9115022016111.892,+387 632 722 6328
aosanne13@4shared.com,Invoice Query,Negative,1,2024-01-02T12:52:29Z,message.feedback,3451772649926.678,+86 421 478 7976
cspelman14@phoca.cz,Event Information,Negative,0,2025-07-08T23:36:57Z,message.feedback,0191949369684.915,+81 758 531 8923
amcindoe15@boston.com,Invoice Query,Negative,0,2025-08-15T17:40:05Z,message.feedback,3637144565660.320,+244 952 404 4854
cdiloway16@dmoz.org,Invoice Query,Positive,0,2025-08-03T21:59:49Z,message.feedback,0785735074632.434,+852 938 411 0926
olocksley17@studiopress.com,Number Query,Neutral,1,2025-08-22T06:25:16Z,message.feedback,1483775521726.176,+242 237 693 5091
khrus18@nsw.gov.au,Invoice Query,Positive,1,2024-01-19T13:10:17Z,message.feedback,0095428221479.116,+960 795 766 0852
gions19@un.org,Delivery Query,Negative,1,2025-10-04T04:40:35Z,message.feedback,2641905125861.327,+63 780 129 2180
cmasham1a@scientificamerican.com,Order Return,Neutral,1,2025-11-20T18:57:43Z,message.feedback,7813299649976.557,+964 463 640 3621
rdavids1b@google.com.br,Order Return,Neutral,1,2024-01-19T23:20:18Z,message.feedback,7310946861711.123,+353 604 348 8082
theino1c@adobe.com,Product Fault,Positive,1,2025-09-07T11:39:29Z,message.feedback,8605738071952.393,+261 609 868 5453
cduffit1d@blogger.com,Invoice Query,Positive,1,2025-12-10T23:41:48Z,message.feedback,5329616415952.955,+381 664 426 1015
rthunnerclef1e@cloudflare.com,Order Return,Neutral,1,2025-09-30T04:37:13Z,message.feedback,1345959467188.508,+967 149 169 7439
rbony1f@acquirethisname.com,Event Information,Negative,0,2025-11-09T08:15:05Z,message.feedback,6995568002956.225,+55 288 883 9043
cdurgan1g@pbs.org,Number Query,Negative,1,2025-10-31T23:52:13Z,message.feedback,1600016628868.834,+27 549 614 7558
jyarr1h@123-reg.co.uk,Delivery Query,Positive,0,2025-11-10T00:54:55Z,message.feedback,1369254503047.495,+86 281 290 5721
agavey1i@guardian.co.uk,Invoice Query,Positive,1,2025-10-08T15:29:31Z,message.feedback,3538199665728.396,+977 310 228 0667
kpuddin1j@huffingtonpost.com,Product Fault,Positive,1,2025-10-12T21:04:59Z,message.feedback,9119886154961.161,+63 320 265 1144
fmconie1k@upenn.edu,Order Return,Positive,1,2025-09-27T12:48:18Z,message.feedback,8446826688104.549,+86 812 517 5853
cpressman1l@sfgate.com,Number Query,Neutral,1,2025-12-21T05:11:15Z,message.feedback,2003158407815.498,+84 419 428 4144
eyewdale1m@ftc.gov,Product Fault,Neutral,1,2025-11-09T07:33:51Z,message.feedback,0137359373804.271,+86 430 535 0504
cmussalli1n@google.nl,Delivery Query,Neutral,0,2025-12-22T01:51:43Z,message.feedback,7316489651020.122,+64 644 819 9798
ivine1o@creativecommons.org,Delivery Query,Positive,1,2025-12-19T16:07:41Z,message.feedback,2495964383268.722,+86 785 236 0504
rpigden1p@blogtalkradio.com,Event Information,Positive,1,2025-08-15T20:09:16Z,message.feedback,8660888897698.454,+63 259 480 1875
bhews1q@utexas.edu,Event Information,Positive,0,2025-07-20T13:51:20Z,message.feedback,0802140554269.841,+7 485 844 9398
hhowsden1r@fc2.com,Invoice Query,Positive,1,2025-11-08T07:36:53Z,message.feedback,3129151343003.273,+55 382 518 3908
pjura1s@webmd.com,Product Fault,Negative,1,2025-06-29T08:11:44Z,message.feedback,6437121744068.780,+92 759 213 2267
dhaffner1t@goo.ne.jp,Number Query,Negative,1,2025-07-06T16:25:22Z,message.feedback,6307566349885.696,+86 176 733 3895
ngypps1u@census.gov,Event Information,Negative,0,2025-10-29T17:31:06Z,message.feedback,3003343719317.529,+48 441 486 6551
knoice1v@constantcontact.com,Product Fault,Neutral,0,2025-08-12T19:17:55Z,message.feedback,5273990949485.399,+62 930 106 3832
agronowe1w@pinterest.com,Order Return,Negative,1,2025-10-23T15:02:23Z,message.feedback,9231439388404.610,+55 915 290 7784
kdignall1x@jimdo.com,Invoice Query,Positive,1,2025-08-23T09:56:38Z,message.feedback,9433560443238.073,+375 478 943 0259
bdouble1y@ocn.ne.jp,Order Return,Neutral,0,2024-01-07T21:31:45Z,message.feedback,9303409188698.581,+66 862 287 5709
tpetken1z@bloglines.com,Invoice Query,Positive,0,2024-01-16T15:23:28Z,message.feedback,0715348921133.993,+84 621 227 1568
bmoehle20@netscape.com,Event Information,Neutral,0,2025-07-05T01:30:44Z,message.feedback,7429872220770.905,+81 385 742 9620
pbollum21@sina.com.cn,Event Information,Negative,0,2025-06-23T05:05:54Z,message.feedback,6855845956275.724,+261 559 898 1655
bphilipsson22@sphinn.com,Event Information,Negative,0,2025-09-21T06:00:14Z,message.feedback,1943955738121.405,+62 168 790 6687
cjamot23@moonfruit.com,Number Query,Negative,1,2025-09-30T17:26:36Z,message.feedback,8771009400998.077,+52 646 768 0040
bquemby24@xrea.com,Invoice Query,Positive,0,2025-06-25T01:35:42Z,message.feedback,7659688287977.949,+62 466 620 7281
eavrasin25@mit.edu,Delivery Query,Negative,0,2025-12-21T06:03:58Z,message.feedback,2485935066449.648,+58 128 339 3122
tcomfort26@symantec.com,Number Query,Neutral,0,2025-08-08T04:42:15Z,message.feedback,5335409475694.369,+506 357 116 6049
wmcgregor27@cmu.edu,Delivery Query,Negative,0,2025-10-22T23:55:17Z,message.feedback,1931775214966.898,+592 572 693 4491
jtytler28@tiny.cc,Product Fault,Negative,0,2025-11-20T05:50:23Z,message.feedback,4941345138008.725,+86 463 364 2739
dbassick29@samsung.com,Event Information,Negative,1,2025-08-04T18:37:43Z,message.feedback,1014235031548.137,+55 619 137 8736
ksobieski2a@imageshack.us,Event Information,Positive,1,2025-07-11T16:14:55Z,message.feedback,1993098648756.641,+267 827 212 2466
rbuss2b@java.com,Order Return,Neutral,1,2025-08-20T11:38:48Z,message.feedback,4473582553643.026,+86 995 976 1211
veustis2c@pbs.org,Invoice Query,Neutral,0,2025-11-04T09:15:53Z,message.feedback,3155936818545.429,+46 667 586 9608
masee2d@shop-pro.jp,Event Information,Neutral,1,2025-09-03T22:47:29Z,message.feedback,1957815084280.743,+84 845 303 2780
fboak2e@nifty.com,Product Fault,Neutral,0,2025-11-11T13:21:22Z,message.feedback,5735801859288.893,+52 839 791 9797
tprene2f@cbc.ca,Event Information,Negative,1,2025-12-24T07:54:32Z,message.feedback,4764889410060.713,+46 360 894 5600
bbirdseye2g@bloglovin.com,Delivery Query,Negative,1,2025-07-16T09:05:51Z,message.feedback,8497954230898.311,+48 959 640 3705
sboldry2h@t-online.de,Number Query,Negative,0,2025-07-27T23:08:28Z,message.feedback,2321475357831.236,+86 328 729 5074
dmarquese2i@mysql.com,Delivery Query,Negative,1,2025-12-17T04:01:08Z,message.feedback,4635521337882.677,+86 581 198 8705
mhawkridge2j@youtu.be,Number Query,Neutral,0,2025-12-09T22:09:00Z,message.feedback,0956484852155.631,+33 820 942 7125
wjansey2k@devhub.com,Product Fault,Negative,0,2025-09-19T20:58:13Z,message.feedback,4950586370822.628,+237 941 858 3347
agarric2l@umn.edu,Number Query,Negative,1,2025-12-20T05:32:50Z,message.feedback,0170688951676.195,+55 855 560 4061
bpullman2m@nbcnews.com,Product Fault,Positive,1,2025-07-24T11:51:33Z,message.feedback,7148250314144.873,+93 923 445 4404
proskams2n@tripod.com,Event Information,Negative,0,2024-01-09T23:27:11Z,message.feedback,2755446692355.058,+7 639 727 1306
jbox2o@tiny.cc,Number Query,Neutral,1,2025-07-30T15:49:34Z,message.feedback,7335245206025.783,+62 159 495 2530
oscreaton2p@squidoo.com,Order Return,Neutral,1,2025-10-09T07:12:10Z,message.feedback,0245741658943.909,+33 717 195 4969
ewasbey2q@hc360.com,Invoice Query,Negative,0,2025-08-20T23:44:45Z,message.feedback,1809095357544.832,+52 257 587 0061
mduchant2r@census.gov,Order Return,Positive,1,2025-12-07T04:11:30Z,message.feedback,5495721350027.470,+976 676 841 5789
hschlag2s@digg.com,Product Fault,Neutral,1,2025-09-15T16:32:32Z,message.feedback,2299488219002.298,+86 780 698 0205
eseago2t@google.co.uk,Event Information,Neutral,0,2025-11-28T03:10:27Z,message.feedback,6957446838825.395,+86 568 175 8917
dbiaggelli2u@altervista.org,Event Information,Neutral,0,2025-12-19T13:12:45Z,message.feedback,1801470620417.738,+92 211 957 1169
bmaskell2v@photobucket.com,Invoice Query,Negative,1,2024-01-09T21:32:21Z,message.feedback,6300384019901.683,+86 626 579 5084
atidy2w@cam.ac.uk,Delivery Query,Negative,0,2025-08-20T06:29:51Z,message.feedback,2771459408668.221,+55 609 670 2114
hmacgrath2x@youku.com,Product Fault,Neutral,1,2025-10-21T19:56:24Z,message.feedback,8169034262679.116,+98 719 609 7794
dbazoge2y@github.com,Event Information,Positive,0,2024-01-09T09:15:41Z,message.feedback,3369714006574.616,+237 436 953 4428
nlamkin2z@last.fm,Order Return,Neutral,0,2025-10-12T14:13:53Z,message.feedback,3544995535827.022,+52 144 875 2487
sagott30@usgs.gov,Number Query,Neutral,1,2024-01-08T10:04:30Z,message.feedback,2101110840138.788,+357 218 716 4760
dtuison31@etsy.com,Product Fault,Negative,0,2025-09-14T08:08:35Z,message.feedback,7015643233852.049,+86 430 752 8273
cjedrzejewicz32@wordpress.com,Invoice Query,Neutral,1,2025-10-22T16:59:53Z,message.feedback,0668576775143.452,+7 168 331 3289
aayrton33@sciencedirect.com,Order Return,Negative,0,2025-12-23T13:51:13Z,message.feedback,3469756534975.924,+380 817 500 2093
dmcreath34@chicagotribune.com,Number Query,Neutral,0,2025-11-13T19:16:36Z,message.feedback,3079671319447.753,+375 414 994 6598
nbatchelar35@ezinearticles.com,Delivery Query,Negative,0,2024-01-17T05:22:52Z,message.feedback,2457858198928.775,+55 249 945 0061
vdyster36@answers.com,Product Fault,Negative,0,2025-09-04T09:05:10Z,message.feedback,6823818855395.038,+62 918 920 4530
lpol37@google.fr,Product Fault,Negative,0,2025-08-28T12:29:09Z,message.feedback,3094657471232.838,+62 344 543 0383
babramchik38@va.gov,Order Return,Negative,1,2025-12-30T09:16:57Z,message.feedback,2528730699863.792,+30 223 871 0281
slacroce39@wordpress.org,Event Information,Negative,1,2025-11-29T23:26:26Z,message.feedback,4615173010660.357,+46 977 107 1170
dsleeny3a@kickstarter.com,Number Query,Positive,0,2025-11-26T07:31:43Z,message.feedback,6602650289689.061,+51 178 701 8926
mhartburn3b@state.tx.us,Order Return,Neutral,1,2025-12-06T14:05:36Z,message.feedback,4891924878262.470,+86 671 463 5477
njarred3c@prnewswire.com,Product Fault,Positive,0,2025-07-31T08:23:28Z,message.feedback,0106991052357.830,+31 553 568 9510
slivingstone3d@booking.com,Invoice Query,Negative,1,2025-12-24T00:34:17Z,message.feedback,9958322526457.120,+963 953 486 0596
sspurryer3e@hao123.com,Invoice Query,Positive,0,2025-07-27T10:33:51Z,message.feedback,6279937405687.832,+95 561 590 7587
cuden3f@mapquest.com,Invoice Query,Negative,1,2024-01-10T21:32:24Z,message.feedback,5761074260629.110,+63 590 861 8232
charriott3g@simplemachines.org,Delivery Query,Neutral,1,2025-11-13T02:47:48Z,message.feedback,1011061040371.507,+420 484 782 2942
fgoodday3h@mit.edu,Delivery Query,Negative,0,2025-07-09T01:04:14Z,message.feedback,8504780074436.347,+506 600 476 3082
dweedenburg3i@bizjournals.com,Invoice Query,Neutral,1,2025-09-06T21:58:45Z,message.feedback,0053035179000.434,+242 675 675 5638
upevie3j@psu.edu,Event Information,Neutral,1,2025-08-12T08:04:45Z,message.feedback,5143662201202.853,+62 262 499 7253
lbuttle3k@google.nl,Order Return,Positive,1,2025-11-21T05:05:25Z,message.feedback,8892033508764.941,+351 367 251 1458
loleahy3l@fc2.com,Order Return,Positive,0,2025-12-05T09:15:09Z,message.feedback,5901530954288.059,+66 310 502 7431
ebutrimovich3m@t-online.de,Number Query,Positive,0,2025-10-27T10:17:20Z,message.feedback,4444807119654.960,+84 343 218 1448
uargo3n@seattletimes.com,Number Query,Positive,0,2025-07-09T16:19:02Z,message.feedback,4422834984302.979,+55 348 843 3698
ubeech3o@irs.gov,Invoice Query,Positive,1,2025-10-14T19:21:50Z,message.feedback,4998964065611.146,+62 165 581 3952
sfridaye3p@nasa.gov,Delivery Query,Neutral,1,2025-07-02T21:02:41Z,message.feedback,8572180289230.432,+55 851 897 9973
ffursey3q@baidu.com,Event Information,Neutral,0,2024-01-14T21:55:39Z,message.feedback,8042489183847.983,+683 581 158 3951
jrichardson3r@fc2.com,Product Fault,Neutral,1,2025-10-01T01:31:25Z,message.feedback,5865235901546.691,+63 828 452 8486
gvigurs3s@webeden.co.uk,Invoice Query,Neutral,0,2025-10-14T13:31:03Z,message.feedback,4939485043401.513,+994 315 997 7441
lgasparro3t@slashdot.org,Invoice Query,Positive,1,2025-08-11T06:34:30Z,message.feedback,0571408574051.968,+92 563 910 0229
gcoiley3u@salon.com,Product Fault,Neutral,1,2025-08-20T23:56:33Z,message.feedback,7724578875447.117,+64 288 699 8543
lfoulger3v@disqus.com,Delivery Query,Negative,1,2025-11-06T00:56:27Z,message.feedback,9690305268255.354,+86 245 346 2394
gbygrave3w@adobe.com,Invoice Query,Negative,1,2025-11-02T15:56:23Z,message.feedback,2609766377518.660,+351 637 847 3910
wsoldan3x@msu.edu,Event Information,Neutral,1,2025-08-05T02:27:35Z,message.feedback,3570065231913.556,+86 976 404 1963
gdobbinson3y@csmonitor.com,Number Query,Positive,1,2024-01-13T14:48:55Z,message.feedback,1700326482848.102,+375 883 257 4772
amansour3z@jigsy.com,Order Return,Negative,1,2025-10-20T17:28:12Z,message.feedback,9330216778901.346,+53 811 234 2246
bladell40@joomla.org,Invoice Query,Negative,0,2025-07-01T08:56:52Z,message.feedback,7232974898756.674,+86 511 477 2658
asterrick41@rediff.com,Invoice Query,Negative,1,2025-10-22T20:41:16Z,message.feedback,0579364146703.018,+380 454 922 1887
vcote42@tumblr.com,Product Fault,Positive,1,2025-07-13T08:45:31Z,message.feedback,9236880455173.944,+374 938 717 9236
spilling43@ihg.com,Invoice Query,Positive,0,2025-07-04T18:22:18Z,message.feedback,4235971352131.690,+51 578 435 7456
talway44@trellian.com,Number Query,Positive,0,2025-07-31T05:53:27Z,message.feedback,0882690466055.443,+1 283 860 1575
cdesaur45@umich.edu,Invoice Query,Negative,0,2025-09-02T15:42:37Z,message.feedback,8828096921556.892,+55 190 200 7049
